horse,horseLabel,mother,motherLabel,father,fatherLabel
http://www.wikidata.org/entity/Q102236519,Lady Navarre,,,,
http://www.wikidata.org/entity/Q102236521,James Reddick,,,,
http://www.wikidata.org/entity/Q102236525,Hyperion II,,,,
http://www.wikidata.org/entity/Q102236530,Debar,,,,
http://www.wikidata.org/entity/Q102236534,Velours,,,,
http://www.wikidata.org/entity/Q102236538,Zal,,,,
http://www.wikidata.org/entity/Q102236542,Ovelando,,,,
http://www.wikidata.org/entity/Q102236546,Red Gauntlet,,,,
http://www.wikidata.org/entity/Q102236550,Wool Sandals,,,,
http://www.wikidata.org/entity/Q102236553,Orlandwick,,,,
http://www.wikidata.org/entity/Q102236558,Sir Cleges,,,,
http://www.wikidata.org/entity/Q102236640,Dunvegan,,,,
http://www.wikidata.org/entity/Q102236644,Synchronized,,,,
http://www.wikidata.org/entity/Q102236648,Banbridge,,,,
http://www.wikidata.org/entity/Q102236652,Milford,,,,
http://www.wikidata.org/entity/Q102236654,Bill Herron,,,,
http://www.wikidata.org/entity/Q102236658,Frank Bird,,,,
http://www.wikidata.org/entity/Q102236661,Miami,,,,
http://www.wikidata.org/entity/Q102236667,Dr. Barkley,,,,
http://www.wikidata.org/entity/Q102236672,Sir Catesby,,,,
http://www.wikidata.org/entity/Q102236678,Friend Harry,,,,
http://www.wikidata.org/entity/Q102236684,Direct,,,,
http://www.wikidata.org/entity/Q102236689,Michael Angelo,,,,
http://www.wikidata.org/entity/Q102236693,Warfield,,,,
http://www.wikidata.org/entity/Q102236698,Campeon,,,,
http://www.wikidata.org/entity/Q102236704,Match Me,,,,
http://www.wikidata.org/entity/Q102236711,Joe Morris,,,,
http://www.wikidata.org/entity/Q102236713,Fighting Bob,,,,
http://www.wikidata.org/entity/Q102236760,Boola Boola,,,,
http://www.wikidata.org/entity/Q102236763,Topland,,,,
http://www.wikidata.org/entity/Q102236766,John Furlong,,,,
http://www.wikidata.org/entity/Q102236770,Gallant Pirate,,,,
http://www.wikidata.org/entity/Q102236776,Governor Gray,,,,
http://www.wikidata.org/entity/Q102236779,Colston,,,,
http://www.wikidata.org/entity/Q102236783,Mud Sill,,,,
http://www.wikidata.org/entity/Q102236786,Jack Denman,,,,
http://www.wikidata.org/entity/Q102236790,Round the World,,,,
http://www.wikidata.org/entity/Q102236794,Col. Hogan,,,,
http://www.wikidata.org/entity/Q102236798,Duval,,,,
http://www.wikidata.org/entity/Q102236802,Flamma,,,,
http://www.wikidata.org/entity/Q102236805,Free Lance,,,,
http://www.wikidata.org/entity/Q102236809,Guaranola,,,,
http://www.wikidata.org/entity/Q102236812,Sonada,,,,
http://www.wikidata.org/entity/Q102236816,Wheelwright,,,,
http://www.wikidata.org/entity/Q102236863,Ten Point,,,,
http://www.wikidata.org/entity/Q102236866,Gowell,,,,
http://www.wikidata.org/entity/Q102236869,Foundation,,,,
http://www.wikidata.org/entity/Q102236871,Yankee Notions,,,,
http://www.wikidata.org/entity/Q102236875,Lord Marshall,,,,
http://www.wikidata.org/entity/Q102236879,Jimmie Gill,,,,
http://www.wikidata.org/entity/Q102236881,Leochares,,,,
http://www.wikidata.org/entity/Q102236888,Hodge,,,,
http://www.wikidata.org/entity/Q102236892,Bronzewing,,,,
